time,q0,q1,q2,q3,q4,q5,q6,q8,q9,q10,q11,q12,q13,q14,lh_index_mcp_pitch,lh_middle_mcp_pitch,lh_ring_mcp_pitch,lh_pinky_mcp_pitch,lh_thumb_cmc_yaw,lh_thumb_cmc_pitch,rh_index_mcp_pitch,rh_middle_mcp_pitch,rh_ring_mcp_pitch,rh_pinky_mcp_pitch,rh_thumb_cmc_yaw,rh_thumb_cmc_pitch
0.000000000,0.000000000,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.020000000,0.001884906,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.001884906,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.001849600,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.040000000,0.003769514,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.003769514,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.007386996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.060000000,0.005653527,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.005653527,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.016578048,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.080000000,0.007536648,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.007536648,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.029366090,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.100000000,0.009418578,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.009418578,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.045672280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.120000000,0.011299021,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.011299021,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.065396085,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.140000000,0.013177679,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.013177679,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.088415901,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.160000000,0.015054257,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.015054257,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.114589803,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.180000000,0.016928458,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.016928458,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.143756421,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.200000000,0.018799985,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.018799985,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.175735931,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.220000000,0.020668544,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.020668544,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.210331171,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.240000000,0.022533838,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.022533838,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.247328849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.260000000,0.024395575,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,-0.024395575,0.000000000,0.000000000,1.050000000,0.000000000,0.000000000,0.000000000,0.286500861,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
